frequency_Hz,I_mJy,Q_mJy,U_mJy,dI_mJy,dQ_mJy,dU_mJy
4860000000.0,0.190903,-0.062108,0.005996,0.001683,0.001268,0.001361
4876000000.0,0.190213,-0.063008,0.004194,0.002004,0.001436,0.001515
4892000000.0,0.189814,-0.060988,0.00658,0.001862,0.001133,0.001431
4908000000.0,0.188757,-0.061556,0.004927,0.002195,0.001219,0.001433
4924000000.0,0.188843,-0.062924,0.004352,0.002392,0.001234,0.001362
4940000000.0,0.189374,-0.062433,0.005112,0.002261,0.001313,0.001609
4956000000.0,0.188769,-0.060921,0.005078,0.00247,0.001319,0.00155
4972000000.0,0.186594,-0.060839,0.006098,0.002304,0.001225,0.001555
4988000000.0,0.187822,-0.060887,0.004618,0.002183,0.001255,0.001406
5004000000.0,0.185708,-0.059734,0.004721,0.002316,0.001255,0.001405
5020000000.0,0.185908,-0.059807,0.005185,0.002418,0.00129,0.001301
5036000000.0,0.184963,-0.059695,0.005282,0.002103,0.001214,0.001308
5052000000.0,0.183523,-0.059304,0.005323,0.002225,0.000889,0.001317
5068000000.0,0.182073,-0.058449,0.004914,0.002299,0.00113,0.001271
5084000000.0,0.182318,-0.060133,0.004528,0.00246,0.001183,0.001499
5100000000.0,0.182271,-0.058916,0.003628,0.00249,0.001163,0.001269
5116000000.0,0.183598,-0.059088,0.003795,0.002319,0.001225,0.001511
5132000000.0,0.180401,-0.05883,0.004835,0.002398,0.001238,0.001627
5148000000.0,0.178837,-0.059777,0.004079,0.002515,0.001339,0.001639
5164000000.0,0.180788,-0.060885,0.004328,0.002744,0.001344,0.001625
5180000000.0,0.178935,-0.058219,0.003771,0.00269,0.001297,0.001835
5196000000.0,0.179255,-0.056904,0.003458,0.002794,0.001067,0.001653
5212000000.0,0.178712,-0.058259,0.004052,0.002534,0.001102,0.001324
5228000000.0,0.178278,-0.05749,0.003903,0.002505,0.001195,0.001355
5244000000.0,0.178461,-0.057205,0.003985,0.002294,0.001007,0.001287
5260000000.0,0.176916,-0.05818,0.004284,0.002508,0.001316,0.001463
5276000000.0,0.176033,-0.059049,0.002884,0.002262,0.001446,0.001688
5292000000.0,0.175831,-0.059391,0.003473,0.002345,0.001304,0.001379
5308000000.0,0.17672,-0.057797,0.005084,0.002267,0.001102,0.001418
5324000000.0,0.175266,-0.058667,0.004949,0.002184,0.001157,0.001488
5340000000.0,0.174801,-0.05844,0.004114,0.002051,0.001221,0.001318
5356000000.0,0.175342,-0.057135,0.003275,0.002437,0.001124,0.001156
5372000000.0,0.173948,-0.05847,0.002543,0.002575,0.001085,0.001214
5388000000.0,0.173918,-0.056698,0.004207,0.002569,0.001037,0.001365
5404000000.0,0.172775,-0.056564,0.004479,0.002529,0.00128,0.001199
