Name,l_deg,b_deg,RA_deg,Dec_deg,dRA_asec,dDec_asec,Peak_mJybm,dPeak_mJybm,Flux_mJy,dFlux_mJy,Angscale_asec,dAngscale_asec,AngscaleDecon_asec,gaussMajor_asec,dGaussMajor_asec,gaussMinor_asec,dGaussMminor_asec,gaussPosangle_deg,dGaussPosangle_deg,RMS_mJybm,Sky_mJybm,Sigma,mType,fArtefact,fCluster,fEdge,fHiNoise,fHi5Sig,fNearBright,fSmoothWeighting,fOverlap7sig,fOverlap5sig
G047.7171-00.1040,047.71710,-00.10404,289.81640,+13.07891,00.13,00.13,00005.59,00000.66,00005.59,00000.91,01.500,00.093,,01.500,00.141,01.500,00.122,135.516,43.738,00.41,0.036,0012.9,G,0,0,0,0,0,0,0,0,0
G047.7231-00.1115,047.72315,-00.11152,289.82609,+13.08075,00.13,00.11,00008.34,00000.87,00014.77,00001.78,01.996,00.085,01.3,02.327,00.154,01.712,00.093,86.219,06.550,00.42,0.006,0019.6,G,0,0,0,0,0,0,0,0,0
G047.9511-00.7525,047.95107,-00.75249,290.51678,+12.98082,00.10,00.10,00016.62,00001.53,00020.50,00002.00,01.666,00.038,,01.735,00.057,01.599,00.050,151.191,11.896,00.38,-0.000,0043.2,G,0,1,0,0,0,0,0,0,0
G047.9519-00.7515,047.95193,-00.75155,290.51635,+12.98203,00.11,00.11,00009.35,00000.92,00010.04,00001.15,01.554,00.052,,01.611,00.079,01.500,00.069,110.320,23.384,00.37,0.002,0023.1,G,0,1,0,0,0,0,0,0,0
G048.2396-00.9675,048.23956,-00.96746,290.85104,+13.13380,00.10,00.10,00012.15,00001.14,00013.97,00001.41,01.608,00.040,,01.689,00.062,01.532,00.053,29.335,11.562,00.33,0.017,0035.2,G,0,1,0,0,0,0,0,0,0
G048.2413-00.9680,048.24126,-00.96799,290.85233,+13.13504,00.10,00.10,00075.29,00006.71,00076.57,00006.84,01.513,00.022,,01.526,00.031,01.500,00.031,176.534,10.606,00.33,0.008,0220.4,G,0,1,0,0,0,0,0,0,0
G048.3532-00.7184,048.35318,-00.71838,290.68051,+13.35151,00.14,00.11,00007.17,00000.76,00010.89,00001.38,01.849,00.084,01.1,02.278,00.167,01.500,00.082,106.600,04.761,00.39,-0.018,0018.9,G,0,0,0,0,0,0,0,0,0
G048.4073-00.6822,048.40731,-00.68219,290.67395,+13.41630,00.14,00.14,00003.36,00000.46,00003.36,00000.71,01.500,00.123,,01.500,00.174,01.500,00.174,154.392,90.000,00.35,0.016,0008.8,G,0,0,0,0,0,0,0,0,0
G048.9330-00.9883,048.93298,-00.98827,291.20702,+13.73483,00.10,00.10,00034.06,00003.05,00034.06,00003.10,01.500,00.024,,01.500,00.035,01.500,00.034,155.616,44.284,00.37,-0.002,0087.6,G,0,1,0,0,0,0,0,1,0
G048.9332-00.9892,048.93316,-00.98919,291.20794,+13.73455,00.13,00.13,00004.21,00000.53,00004.21,00000.77,01.500,00.104,,01.500,00.147,01.500,00.147,14.267,90.000,00.37,-0.002,0010.7,G,0,1,0,0,0,0,0,1,0
G048.9901+00.9265,048.99009,+00.92654,289.49174,+14.68613,00.21,00.11,00004.45,00000.47,00015.28,00001.76,02.778,00.127,02.3,04.215,00.315,01.831,00.096,96.018,02.105,00.25,0.002,0020.7,G,0,0,0,0,0,0,0,0,0
G049.0560+00.4198,049.05600,+00.41984,289.98630,+14.50714,00.22,00.19,00002.39,00000.38,00003.98,00000.92,01.938,00.210,01.2,02.104,00.341,01.785,00.257,74.599,34.985,00.29,0.001,0008.1,G,0,1,0,0,0,0,0,0,0
G049.0568+00.4186,049.05683,+00.41863,289.98780,+14.50731,00.10,00.10,00012.79,00001.18,00015.14,00001.48,01.632,00.037,,01.711,00.056,01.556,00.048,167.220,09.996,00.29,-0.002,0041.7,G,0,1,0,0,0,0,0,0,0
G049.2093-00.9627,049.20933,-00.96267,291.31891,+13.99023,00.19,00.18,00107.79,00009.60,00176.67,00017.23,02.666,00.006,02.2,,,,,,,00.31,-0.002,0345.3,P,0,0,0,0,1,0,0,0,0
G049.2095-00.9712,049.20947,-00.97120,291.32637,+13.98643,00.20,00.20,00062.82,00005.60,00115.98,00011.33,02.535,00.007,02.0,,,,,,,00.31,-0.003,0202.4,P,0,0,0,0,1,0,0,0,0
