Name,l_deg,b_deg,RA_deg,Dec_deg,dRA_asec,dDec_asec,Peak_mJybm,dPeak_mJybm,Flux_mJy,dFlux_mJy,Angscale_asec,dAngscale_asec,AngscaleDecon_asec,gaussMajor_asec,dGaussMajor_asec,gaussMinor_asec,dGaussMminor_asec,gaussPosangle_deg,dGaussPosangle_deg,RMS_mJybm,Sky_mJybm,Sigma,mType,fArtefact,fCluster,fEdge,fHiNoise,fHi5Sig,fNearBright,fSmoothWeighting,fOverlap7sig,fOverlap5sig
G023.5044-00.5245,023.50438,-00.52448,279.00049,-08.62391,00.11,00.11,00011.70,00001.10,00027.22,00002.69,02.288,00.061,01.7,02.332,00.089,02.244,00.084,87.046,33.392,00.33,0.003,0033.2,G,0,0,0,0,0,0,0,0,0
G023.8214-00.5788,023.82140,-00.57885,279.19663,-08.36737,00.10,00.10,00033.83,00003.03,00052.14,00004.71,01.862,00.029,01.1,01.930,00.043,01.797,00.040,139.508,05.467,00.30,0.005,0111.3,G,0,0,0,0,0,0,0,0,0
G023.8897-00.7379,023.88973,-00.73794,279.37118,-08.37975,00.19,00.18,00071.43,00006.36,00113.35,00010.72,02.071,00.005,01.4,,,,,,,00.32,0.002,0221.0,P,0,1,0,0,0,0,0,1,0
G024.0943-01.0992,024.09433,-01.09925,279.79055,-08.36363,00.10,00.10,00016.40,00001.49,00016.40,00001.55,01.500,00.029,,01.500,00.042,01.500,00.041,177.946,25.023,00.31,0.002,0050.6,G,0,0,0,0,0,0,0,0,0
G024.1659+00.2502,024.16589,+00.25021,278.61307,-07.67930,00.79,00.76,00003.95,00000.38,00036.97,00006.77,07.330,00.071,07.2,,,,,,,00.36,-0.002,0010.0,P,0,0,0,0,1,0,0,0,0
G024.3852+00.2869,024.38525,+00.28686,278.68242,-07.46849,00.25,00.31,00002.81,00000.48,00006.45,00001.52,02.273,00.280,01.7,02.854,00.559,01.811,00.270,145.333,12.709,00.38,-0.005,0007.5,G,0,1,0,0,0,0,0,1,0
G024.3857+00.2868,024.38569,+00.28678,278.68269,-07.46814,00.25,00.20,00002.79,00000.48,00003.99,00001.07,01.795,00.221,,02.149,00.425,01.500,00.221,122.592,16.118,00.39,-0.004,0007.2,G,0,1,0,0,0,0,0,1,0
G024.7921-01.0043,024.79211,-01.00425,280.02795,-07.69994,00.15,00.13,00005.32,00000.62,00009.69,00001.39,02.024,00.119,01.4,02.329,00.211,01.759,00.132,61.193,10.319,00.36,-0.012,0013.7,G,0,0,0,0,0,0,0,0,0
G024.8959+00.4586,024.89588,+00.45857,278.76572,-06.93613,01.12,01.12,00010.22,00000.95,00013.32,00001.95,01.941,00.034,01.2,,,,,,,00.34,-0.007,0029.4,P,0,0,0,0,0,0,0,0,0
G025.0485-00.6621,025.04851,-00.66210,279.83963,-07.31531,00.10,00.10,00022.44,00002.02,00030.11,00002.75,01.737,00.030,,01.765,00.043,01.710,00.041,73.511,17.095,00.29,0.011,0076.3,G,0,0,0,0,0,0,0,0,0
G025.5190+00.2165,025.51899,+00.21650,279.27143,-06.49384,00.14,00.14,00014.19,00001.27,00267.32,00024.90,07.974,00.009,07.8,,,,,,,00.34,-0.001,0041.2,P,0,0,0,0,0,0,1,0,0
G025.5769+00.1389,025.57692,+00.13894,279.36683,-06.47831,00.10,00.10,00011.51,00001.07,00013.77,00001.37,01.641,00.039,,01.673,00.057,01.610,00.054,75.689,28.136,00.28,-0.020,0039.5,G,0,0,0,0,0,0,0,0,0
G025.8466+01.1718,025.84656,+01.17179,278.56909,-05.76394,00.21,00.22,00007.14,00000.88,00031.34,00004.35,03.142,00.213,02.8,03.909,00.403,02.526,00.222,40.519,07.705,00.61,0.012,0011.4,G,0,0,1,1,0,0,0,0,0
G026.0823-00.0347,026.08226,-00.03472,279.75535,-06.10901,00.14,00.15,00005.74,00000.66,00014.23,00001.90,02.362,00.133,01.8,02.516,00.207,02.218,00.170,154.108,23.785,00.40,-0.050,0013.7,G,0,0,0,0,0,0,0,0,0
G026.1620+00.5926,026.16203,+00.59258,279.23182,-05.75024,00.25,00.26,00003.14,00000.47,00012.38,00002.18,02.977,00.282,02.6,03.041,00.411,02.915,00.388,150.104,90.000,00.35,-0.016,0009.7,G,0,0,0,0,0,0,0,0,0
G026.2268+00.7685,026.22684,+00.76845,279.10476,-05.61187,00.14,00.14,00004.21,00000.51,00006.46,00001.01,01.859,00.118,01.1,02.095,00.204,01.649,00.134,44.699,13.229,00.30,-0.005,0012.4,G,0,0,0,0,0,0,0,0,0
