Name,l_deg,b_deg,RA_deg,Dec_deg,dRA_asec,dDec_asec,Peak_mJybm,dPeak_mJybm,Flux_mJy,dFlux_mJy,Angscale_asec,dAngscale_asec,AngscaleDecon_asec,gaussMajor_asec,dGaussMajor_asec,gaussMinor_asec,dGaussMminor_asec,gaussPosangle_deg,dGaussPosangle_deg,RMS_mJybm,Sky_mJybm,Sigma,mType,fArtefact,fCluster,fEdge,fHiNoise,fHi5Sig,fNearBright,fSmoothWeighting,fOverlap7sig,fOverlap5sig
G055.0780-00.4273,055.07800,-00.42726,293.76937,+19.39560,00.15,00.15,00002.26,00000.33,00002.26,00000.53,01.500,00.139,,01.500,00.197,01.500,00.197,164.639,90.000,00.26,0.007,0007.7,G,0,0,0,0,0,0,0,0,0
G055.3753-00.4873,055.37533,-00.48734,293.97855,+19.62610,00.11,00.11,00006.76,00000.65,00006.76,00000.74,01.500,00.047,,01.500,00.071,01.500,00.063,64.512,23.964,00.25,-0.009,0025.7,G,0,0,0,0,0,0,0,0,0
G055.8161+00.5890,055.81609,+00.58904,293.20407,+20.53373,00.14,00.16,00002.79,00000.37,00003.31,00000.64,01.634,00.128,,01.781,00.211,01.500,00.153,15.871,23.476,00.26,0.008,0010.3,G,0,0,0,0,0,0,0,0,0
G055.8753-00.4130,055.87529,-00.41303,294.16880,+20.09880,00.22,00.17,00001.88,00000.32,00002.26,00000.63,01.642,00.197,,01.798,00.329,01.500,00.233,91.315,34.323,00.26,0.002,0007.4,G,0,0,0,0,0,0,0,0,0
G056.1776+00.7623,056.17759,+00.76231,293.22859,+20.93396,03.05,02.98,00002.53,00000.29,00002.58,00000.52,01.559,00.061,,,,,,,,00.25,-0.001,0009.0,P,0,1,0,0,0,0,0,1,0
G056.1784+00.7624,056.17841,+00.76239,293.22892,+20.93461,03.01,03.05,00002.32,00000.28,00002.94,00000.64,01.706,00.067,,,,,,,,00.25,0.002,0008.2,P,0,1,0,0,0,0,0,1,0
G056.2965+00.3154,056.29649,+00.31542,293.70851,+20.82146,00.28,00.27,00030.36,00002.71,00046.78,00004.63,02.175,00.008,01.6,,,,,,,00.23,-0.001,0128.8,P,0,0,0,0,0,0,0,0,0
G056.3697-00.2245,056.36968,-00.22450,294.25091,+20.62229,00.11,00.11,00004.71,00000.49,00004.71,00000.63,01.500,00.067,,01.500,00.096,01.500,00.093,05.441,90.000,00.26,0.001,0016.6,G,0,0,0,0,0,0,0,0,0
G056.3984+00.1608,056.39842,+00.16085,293.90620,+20.83533,00.10,00.10,00010.86,00001.01,00012.18,00001.21,01.589,00.037,,01.648,00.056,01.531,00.050,30.974,13.931,00.27,0.001,0038.8,G,0,0,0,0,0,0,0,0,0
G057.0097+00.1722,057.00966,+00.17223,294.21505,+21.37452,00.10,00.10,00011.66,00001.07,00011.66,00001.13,01.500,00.033,,01.500,00.048,01.500,00.045,92.912,23.264,00.26,0.001,0044.5,G,0,0,0,0,0,0,0,0,0
G057.3233+00.3858,057.32326,+00.38578,294.17936,+21.75247,00.16,00.17,00002.05,00000.30,00002.37,00000.55,01.612,00.154,,01.654,00.228,01.572,00.207,29.851,90.000,00.24,-0.011,0008.2,G,0,0,0,0,0,0,0,0,0
G057.3441+00.5611,057.34408,+00.56111,294.02545,+21.85617,00.16,00.14,00002.66,00000.35,00003.35,00000.64,01.683,00.132,,01.804,00.212,01.569,00.163,68.140,29.629,00.25,-0.000,0010.0,G,0,0,0,0,0,0,0,0,0
G058.0071+00.5260,058.00709,+00.52602,294.40811,+22.41754,00.13,00.13,00004.23,00000.47,00005.74,00000.81,01.747,00.093,,02.016,00.167,01.513,00.100,38.618,08.778,00.27,-0.009,0014.9,G,0,0,0,0,0,0,0,0,0
G059.0901-01.0570,059.09014,-01.05697,296.47718,+22.57388,00.16,00.21,00002.20,00000.33,00002.97,00000.68,01.744,00.176,,02.028,00.323,01.500,00.186,21.151,16.183,00.27,0.002,0008.1,G,0,0,0,0,0,0,0,0,0
G059.2309-00.3877,059.23087,-00.38766,295.92472,+23.03039,00.18,00.20,00001.96,00000.31,00002.57,00000.62,01.718,00.181,,01.933,00.316,01.526,00.204,34.129,22.371,00.24,0.001,0007.5,G,0,0,0,0,0,0,0,0,0
G059.6129-01.0014,059.61290,-01.00139,296.70989,+23.05375,00.20,00.19,00001.99,00000.30,00002.88,00000.65,01.806,00.181,01.0,02.175,00.351,01.500,00.180,130.960,12.587,00.23,0.005,0008.6,G,0,0,0,0,0,0,0,0,0
G059.6786-01.0884,059.67856,-01.08845,296.82756,+23.06665,00.17,00.17,00003.70,00000.60,00003.70,00001.01,01.500,00.166,,01.500,00.235,01.500,00.235,175.216,90.000,00.52,-0.007,0007.3,G,0,0,1,1,0,0,0,0,0
G061.1966-01.0421,061.19659,-01.04211,297.62352,+24.39889,00.15,00.17,00003.23,00000.44,00004.66,00000.90,01.803,00.150,01.0,01.958,00.244,01.660,00.182,156.669,26.360,00.31,0.007,0010.6,G,0,0,0,0,0,0,0,0,0
G061.3319+00.2422,061.33191,+00.24224,296.47823,+25.16483,00.15,00.14,00002.64,00000.34,00003.45,00000.62,01.716,00.126,,01.817,00.198,01.621,00.160,93.068,34.328,00.24,0.029,0009.7,G,0,0,0,0,1,0,0,0,0
G061.5368+00.5572,061.53683,+00.55721,296.29031,+25.50001,00.19,00.19,00001.58,00000.28,00001.58,00000.50,01.500,00.195,,01.500,00.276,01.500,00.276,151.672,90.000,00.24,-0.002,0007.1,G,0,0,0,0,0,0,0,0,0
G061.7520+00.0908,061.75199,+00.09078,296.85677,+25.45171,00.16,00.14,00003.06,00000.39,00004.15,00000.72,01.747,00.124,,02.034,00.228,01.500,00.131,63.012,11.155,00.26,-0.013,0011.1,G,0,0,0,0,0,0,0,0,0
G062.2164+00.3221,062.21643,+00.32215,296.89502,+25.96944,00.14,00.14,00002.83,00000.36,00002.83,00000.54,01.500,00.109,,01.500,00.155,01.500,00.155,173.716,90.000,00.26,0.003,0010.3,G,0,0,0,0,0,0,0,0,0
G063.4923-00.5914,063.49227,-00.59138,298.49698,+26.60135,00.11,00.11,00005.81,00000.57,00005.81,00000.66,01.500,00.050,,01.500,00.074,01.500,00.068,130.068,31.668,00.24,-0.002,0023.9,G,0,0,0,0,0,0,0,0,0
G064.8268+00.4950,064.82680,+00.49500,298.22039,+28.30455,00.11,00.11,00005.04,00000.51,00005.45,00000.68,01.560,00.061,,01.623,00.093,01.500,00.081,91.584,26.376,00.24,-0.006,0020.0,G,0,1,0,0,0,0,0,1,0
G064.8274+00.4943,064.82738,+00.49428,298.22149,+28.30466,00.25,00.25,00047.41,00004.22,00053.67,00005.38,01.833,00.008,01.1,,,,,,,00.24,-0.006,0197.5,P,0,1,0,0,0,0,0,1,0
G065.2462+00.3505,065.24617,+00.35051,298.60673,+28.58976,00.11,00.11,00004.57,00000.48,00004.57,00000.60,01.500,00.066,,01.500,00.096,01.500,00.091,64.205,82.166,00.25,-0.006,0017.5,G,0,0,0,0,1,0,0,0,0
