Name,l_deg,b_deg
G043.1684+00.0087,43.16841,0.00866
G043.1684+00.0124,43.16844,0.01244
G043.1699+00.0115,43.16992,0.0115
G043.1701+00.0078,43.17006,0.00783
G043.1706-00.0003,43.17064,-0.00034
G043.1716+00.0001,43.17162,5e-05
G043.1720+00.0080,43.17204,0.00802
G043.1763+00.0248,43.17627,0.02478
G043.1778-00.5181,43.17775,-0.51806
G043.1845-00.5268,43.1845,-0.52684
G043.2371-00.0453,43.2371,-0.0453
G043.3064-00.2114,43.30636,-0.21136
G043.7954-00.1274,43.79541,-0.12738
G043.7960-00.1286,43.79603,-0.12856
G043.8894-00.7840,43.8894,-0.78399
G043.9675+00.9939,43.96752,0.99386
G044.3103+00.0410,44.31025,0.04098
G044.4228+00.5377,44.42279,0.53772
G045.0694+00.1323,45.06939,0.1323
G045.0712+00.1321,45.07116,0.13206
G045.1223+00.1321,45.12233,0.13206
G045.1242+00.1356,45.12424,0.1356
G045.4545+00.0591,45.4545,0.05908
G045.4559+00.0613,45.45595,0.06133
G045.4656+00.0452,45.46557,0.04515
G045.4790+00.1294,45.47896,0.12942
G045.5431-00.0073,45.54307,-0.00728
G048.6057+00.0228,48.60569,0.02278
G048.6099+00.0270,48.60992,0.02697
G048.9296-00.2793,48.92959,-0.27926
G048.9901-00.2988,48.9901,-0.29878
G049.2679-00.3374,49.26792,-0.33743
G049.3666-00.3010,49.36663,-0.30104
G049.3704-00.3012,49.37036,-0.30117
G049.4640-00.3511,49.464,-0.35108
G049.4867-00.3800,49.48667,-0.37995
G049.4891-00.3763,49.48914,-0.37627
G049.4905-00.3688,49.49053,-0.36881
G050.2834-00.3904,50.28336,-0.39037
G050.3152+00.6762,50.31525,0.67623
G050.3157+00.6747,50.31566,0.67475
G051.6785+00.7193,51.67854,0.71934
G052.0991+01.0432,52.09906,1.04325
G052.7533+00.3340,52.75329,0.33397
G053.1865+00.2085,53.18652,0.20846
G053.9589+00.0320,53.95892,0.03201
G057.5474-00.2717,57.54739,-0.27167
G058.7739+00.6457,58.77387,0.6457
G059.6027+00.9118,59.60268,0.91183
G060.8838-00.1295,60.88377,-0.12955
G060.8842-00.1286,60.88422,-0.12861
G061.2875-00.3327,61.28753,-0.33269
G061.4758+00.0913,61.47576,0.0913
G061.4763+00.0892,61.47631,0.08921
G061.4770+00.0891,61.47701,0.08915
G061.7207+00.8630,61.72069,0.86297
G064.1310-00.4719,64.13101,-0.47189
